CIK,SeriesID,Fund,ContractID,Class,Ticker,accession_number,form,description,filing_date
0001424958,S000031292,Direxion Daily S&P 500 (R) Bear 1X Shares,C000097007,Direxion Daily S&P 500 (R) Bear 1X Shares,SPDN,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000033634,Direxion NASDAQ-100(R) Equal Weighted Index Shares,C000103352,Direxion NASDAQ-100(R) Equal Weighted Index Shares,QQQE,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000034516,DIREXION DAILY JUNIOR GOLD MINERS INDEX BULL 2X SHARES,C000106084,DIREXION DAILY JUNIOR GOLD MINERS INDEX BULL 2X SHARES,JNUG,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000034517,DIREXION DAILY JUNIOR GOLD MINERS INDEX BEAR 2X SHARES,C000106085,DIREXION DAILY JUNIOR GOLD MINERS INDEX BEAR 2X SHARES,JDST,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000038649,Direxion Daily FTSE Europe Bull 3X Shares,C000119158,Direxion Daily FTSE Europe Bull 3X Shares,EURL,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000048742,Direxion Daily CSI 300 China A Share Bull 2X Shares,C000153531,Direxion Daily CSI 300 China A Share Bull 2X Shares,CHAU,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000048906,Direxion Daily CSI 300 China A Share Bear 1X Shares,C000154004,Direxion Daily CSI 300 China A Share Bear 1X Shares,CHAD,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000049373,Direxion Daily S&P Biotech Bull 3X Shares,C000156149,Direxion Daily S&amp;P Biotech Bull 3X Shares,LABU,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000049374,Direxion Daily S&P Biotech Bear 3X Shares,C000156150,Direxion Daily S&amp;P Biotech Bear 3X Shares,LABD,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000049375,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,C000156151,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,GUSH,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000049376,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,C000156152,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,DRIP,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000050532,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,C000159441,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,PILL,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000054803,Direxion Auspice Broad Commodity Strategy ETF,C000172242,Direxion Auspice Broad Commodity Strategy ETF,COM,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000055198,Direxion Daily CSI China Internet Index Bull 2X Shares,C000173593,Direxion Daily CSI China Internet Index Bull 2X Shares,CWEB,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000057169,Direxion Daily Transportation Bull 3X Shares,C000181590,Direxion Daily Transportation Bull 3X Shares,TPOR,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000057175,Direxion Daily MSCI Mexico Bull 3X Shares,C000181596,Direxion Daily MSCI Mexico Bull 3X Shares,MEXX,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000057185,Direxion Daily Aerospace & Defense Bull 3X Shares,C000181606,Direxion Daily Aerospace & Defense Bull 3X Shares,DFEN,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000057187,Direxion Daily Industrials Bull 3X Shares,C000181608,Direxion Daily Industrials Bull 3X Shares,DUSL,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000061746,"Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X Shares",C000199973,"Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X Shares",UBOT,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000063923,Direxion Russell 1000(R) Value Over Growth ETF,C000206906,Direxion Russell 1000(R) Value Over Growth ETF,RWVG,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000063924,Direxion Russell 1000(R) Growth Over Value ETF,C000206907,Direxion Russell 1000(R) Growth Over Value ETF,RWGV,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000066279,Direxion Daily S&P 500(R) High Beta Bull 3X Shares,C000214055,Direxion Daily S&P 500(R) High Beta Bull 3X Shares,HIBL,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000066280,Direxion Daily S&P 500(R) High Beta Bear 3X Shares,C000214056,Direxion Daily S&P 500(R) High Beta Bear 3X Shares,HIBS,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000066281,Direxion Daily Dow Jones Internet Bull 3X Shares,C000214057,Direxion Daily Dow Jones Internet Bull 3X Shares,WEBL,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000066282,Direxion Daily Dow Jones Internet Bear 3X Shares,C000214058,Direxion Daily Dow Jones Internet Bear 3X Shares,WEBS,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000068623,Direxion Fallen Knives ETF,C000219529,Direxion Fallen Knives ETF,NIFE,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000068856,Direxion Work From Home ETF,C000220041,Direxion Work From Home ETF,WFH,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000069290,Direxion Moonshot Innovators ETF,C000221263,Direxion Moonshot Innovators ETF,MOON,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000070092,Direxion World Without Waste ETF,C000223004,Direxion World Without Waste ETF,WWOW,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000070706,Direxion Daily Cloud Computing Bull 2X Shares,C000224797,Direxion Daily Cloud Computing Bull 2X Shares,CLDL,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000071018,Direxion Select Large Caps & FANGs ETF,C000225447,Direxion Select Large Caps & FANGs ETF,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000071019,Direxion Daily TSLA Bear 1X Shares,C000225448,Direxion Daily TSLA Bear 1X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000071020,Direxion Daily Select Large Caps & FANGs Bull 2X Shares,C000225449,Direxion Daily Select Large Caps & FANGs Bull 2X Shares,FNGG,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000071021,Direxion Daily Select Large Caps & FANGs Bear 2X Shares,C000225450,Direxion Daily Select Large Caps & FANGs Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000071022,Direxion Daily Cloud Computing Bear 2X Shares,C000225451,Direxion Daily Cloud Computing Bear 2X Shares,CLDS,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000071278,Direxion Hydrogen ETF,C000226196,Direxion Hydrogen ETF,HJEN,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000072079,Direxion Daily 5G Communications Bull 2X Shares,C000227800,Direxion Daily 5G Communications Bull 2X Shares,TENG,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000072080,Direxion Daily 5G Communications Bear 2X Shares,C000227801,Direxion Daily 5G Communications Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000072081,Direxion Daily Travel & Vacation Bull 2X Shares,C000227802,Direxion Daily Travel & Vacation Bull 2X Shares,OOTO,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000072082,Direxion Daily Travel & Vacation Bear 2X Shares,C000227803,Direxion Daily Travel & Vacation Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000072481,Direxion Daily Global Clean Energy Bull 2X Shares,C000228772,Direxion Daily Global Clean Energy Bull 2X Shares,KLNE,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000072482,Direxion Daily Global Clean Energy Bear 2X Shares,C000228773,Direxion Daily Global Clean Energy Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000072483,Direxion Daily TSLA Bull 2X Shares,C000228774,Direxion Daily TSLA Bull 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000072484,Direxion Daily TSLA Bear 2X Shares,C000228775,Direxion Daily TSLA Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000072485,Direxion Low Priced Stock ETF,C000228776,Direxion Low Priced Stock ETF,LOPX,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000073589,Direxion Daily US Infrastructure Bull 2X Shares,C000230594,Direxion Daily US Infrastructure Bull 2X Shares,DOZR,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000073590,Direxion Daily US Infrastructure Bear 2X Shares,C000230595,Direxion Daily US Infrastructure Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000073591,Direxion Daily FinTech Bull 2X Shares,C000230596,Direxion Daily FinTech Bull 2X Shares,FNTC,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000073592,Direxion Daily FinTech Bear 2X Shares,C000230597,Direxion Daily FinTech Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000073593,Direxion Daily Software Bull 2X Shares,C000230598,Direxion Daily Software Bull 2X Shares,SWAR,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000073594,Direxion Daily Software Bear 2X Shares,C000230599,Direxion Daily Software Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000073595,Direxion Daily Metal Miners Bull 2X Shares,C000230600,Direxion Daily Metal Miners Bull 2X Shares,MNM,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000073596,Direxion Daily Metal Miners Bear 2X Shares,C000230601,Direxion Daily Metal Miners Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000074011,Direxion Nanotechnology ETF,C000231334,Direxion Nanotechnology ETF,TYNE,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000074234,Direxion Daily Aviation Bull 2X Shares,C000231843,Direxion Daily Aviation Bull 2X Shares,FLYY,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000074235,Direxion Daily Aviation Bear 2X Shares,C000231844,Direxion Daily Aviation Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000074236,Direxion Daily Oil Services Bull 2X Shares,C000231845,Direxion Daily Oil Services Bull 2X Shares,ONG,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000074237,Direxion Daily Oil Services Bear 2X Shares,C000231846,Direxion Daily Oil Services Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000074238,Direxion Daily Rare Earth/Strategic Metals Bull 2X Shares,C000231847,Direxion Daily Rare Earth/Strategic Metals Bull 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000074239,Direxion Daily Rare Earth/Strategic Metals Bear 2X Shares,C000231848,Direxion Daily Rare Earth/Strategic Metals Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000074486,Direxion mRNA ETF,C000232435,Direxion mRNA ETF,MSGR,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000075013,Direxion Internet Infrastructure ETF,C000233651,Direxion Internet Infrastructure ETF,HTTP,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000075014,Direxion Digital Advertising ETF,C000233652,Direxion Digital Advertising ETF,DADS,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000075015,Direxion Daily S&P 500 Equal Weight Bull 2X Shares,C000233653,Direxion Daily S&P 500 Equal Weight Bull 2X Shares,EVEN,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000075016,Direxion Daily S&P 500 Equal Weight Bear 2X Shares,C000233654,Direxion Daily S&P 500 Equal Weight Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000075017,Direxion Daily S&P 500 Pure Growth Bull 2X Shares,C000233655,Direxion Daily S&P 500 Pure Growth Bull 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000075018,Direxion Daily S&P 500 Pure Growth Bear 2X Shares,C000233656,Direxion Daily S&P 500 Pure Growth Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000075019,Direxion Daily S&P 500 Pure Value Bull 2X Shares,C000233657,Direxion Daily S&P 500 Pure Value Bull 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000075020,Direxion Daily S&P 500 Pure Value Bear 2X Shares,C000233658,Direxion Daily S&P 500 Pure Value Bear 2X Shares,,0001193125-22-073453,497,Fund Prospectus,2022-03-11
0001424958,S000022773,Direxion Daily MSCI Emerging Markets Bear 3X Shares,C000065901,Direxion Daily MSCI Emerging Markets Bear 3X Shares,EDZ,0001193125-22-070632,497,Fund Prospectus,2022-03-09
0001424958,S000022789,Direxion Daily MSCI Emerging Markets Bull 3X Shares,C000065917,Direxion Daily MSCI Emerging Markets Bull 3X Shares,EDC,0001193125-22-070632,497,Fund Prospectus,2022-03-09
0001424958,S000029357,Direxion Daily Russia Bull 2X Shares,C000090200,Direxion Daily Russia Bull 2X Shares,RUSL,0001193125-22-058318,497,Fund Prospectus,2022-02-28
0001424958,S000050532,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,C000159441,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,PILL,0001193125-22-056897,497K,Summary Prospectus,2022-02-28
0001424958,S000022782,Direxion Daily Real Estate Bear 3X Shares,C000065910,Direxion Daily Real Estate Bear 3X Shares,DRV,0001193125-22-056896,497K,Summary Prospectus,2022-02-28
0001424958,S000022762,Direxion Daily Real Estate Bull 3X Shares,C000065890,Direxion Daily Real Estate Bull 3X Shares,DRN,0001193125-22-056895,497K,Summary Prospectus,2022-02-28
0001424958,S000048742,Direxion Daily CSI 300 China A Share Bull 2X Shares,C000153531,Direxion Daily CSI 300 China A Share Bull 2X Shares,CHAU,0001193125-22-056894,497K,Summary Prospectus,2022-02-28
0001424958,S000048906,Direxion Daily CSI 300 China A Share Bear 1X Shares,C000154004,Direxion Daily CSI 300 China A Share Bear 1X Shares,CHAD,0001193125-22-056893,497K,Summary Prospectus,2022-02-28
0001424958,S000048742,Direxion Daily CSI 300 China A Share Bull 2X Shares,C000153531,Direxion Daily CSI 300 China A Share Bull 2X Shares,CHAU,0001193125-22-056553,497K,Summary Prospectus,2022-02-28
0001424958,S000070092,Direxion World Without Waste ETF,C000223004,Direxion World Without Waste ETF,WWOW,0001193125-22-056552,497K,Summary Prospectus,2022-02-28
0001424958,S000068856,Direxion Work From Home ETF,C000220041,Direxion Work From Home ETF,WFH,0001193125-22-056551,497K,Summary Prospectus,2022-02-28
0001424958,S000074486,Direxion mRNA ETF,C000232435,Direxion mRNA ETF,MSGR,0001193125-22-056549,497K,Summary Prospectus,2022-02-28
0001424958,S000074011,Direxion Nanotechnology ETF,C000231334,Direxion Nanotechnology ETF,TYNE,0001193125-22-056548,497K,Summary Prospectus,2022-02-28
0001424958,S000063923,Direxion Russell 1000(R) Value Over Growth ETF,C000206906,Direxion Russell 1000(R) Value Over Growth ETF,RWVG,0001193125-22-056547,497K,Summary Prospectus,2022-02-28
0001424958,S000054803,Direxion Auspice Broad Commodity Strategy ETF,C000172242,Direxion Auspice Broad Commodity Strategy ETF,COM,0001193125-22-056543,497K,Summary Prospectus,2022-02-28
0001424958,S000033634,Direxion NASDAQ-100(R) Equal Weighted Index Shares,C000103352,Direxion NASDAQ-100(R) Equal Weighted Index Shares,QQQE,0001193125-22-056542,497K,Summary Prospectus,2022-02-28
0001424958,S000072485,Direxion Low Priced Stock ETF,C000228776,Direxion Low Priced Stock ETF,LOPX,0001193125-22-056541,497K,Summary Prospectus,2022-02-28
0001424958,S000068623,Direxion Fallen Knives ETF,C000219529,Direxion Fallen Knives ETF,NIFE,0001193125-22-056540,497K,Summary Prospectus,2022-02-28
0001424958,S000071278,Direxion Hydrogen ETF,C000226196,Direxion Hydrogen ETF,HJEN,0001193125-22-056539,497K,Summary Prospectus,2022-02-28
0001424958,S000066280,Direxion Daily S&P 500(R) High Beta Bear 3X Shares,C000214056,Direxion Daily S&P 500(R) High Beta Bear 3X Shares,HIBS,0001193125-22-056538,497K,Summary Prospectus,2022-02-28
0001424958,S000069290,Direxion Moonshot Innovators ETF,C000221263,Direxion Moonshot Innovators ETF,MOON,0001193125-22-056537,497K,Summary Prospectus,2022-02-28
0001424958,S000063924,Direxion Russell 1000(R) Growth Over Value ETF,C000206907,Direxion Russell 1000(R) Growth Over Value ETF,RWGV,0001193125-22-056536,497K,Summary Prospectus,2022-02-28
0001424958,S000022786,Direxion Daily Small Cap Bull 3X Shares,C000065914,Direxion Daily Small Cap Bull 3X Shares,TNA,0001193125-22-056528,497K,Summary Prospectus,2022-02-28
0001424958,S000057169,Direxion Daily Transportation Bull 3X Shares,C000181590,Direxion Daily Transportation Bull 3X Shares,TPOR,0001193125-22-056527,497K,Summary Prospectus,2022-02-28
0001424958,S000023809,Direxion Daily Technology Bull 3X Shares,C000070000,Direxion Daily Technology Bull 3X Shares,TECL,0001193125-22-056526,497K,Summary Prospectus,2022-02-28
0001424958,S000049374,Direxion Daily S&P Biotech Bear 3X Shares,C000156150,Direxion Daily S&amp;P Biotech Bear 3X Shares,LABD,0001193125-22-056525,497K,Summary Prospectus,2022-02-28
0001424958,S000027476,Direxion Daily Utilities Bull 3X Shares,C000082787,Direxion Daily Utilities Bull 3X Shares,UTSL,0001193125-22-056524,497K,Summary Prospectus,2022-02-28
0001424958,S000066279,Direxion Daily S&P 500(R) High Beta Bull 3X Shares,C000214055,Direxion Daily S&P 500(R) High Beta Bull 3X Shares,HIBL,0001193125-22-056523,497K,Summary Prospectus,2022-02-28
0001424958,S000022767,Direxion Daily S&P 500(R) Bull 3X Shares,C000065895,Direxion Daily S&P 500(R) Bull 3X Shares,SPXL,0001193125-22-056522,497K,Summary Prospectus,2022-02-28
0001424958,S000022765,Direxion Daily S&P 500(R) Bear 3X Shares,C000065893,Direxion Daily S&P 500(R) Bear 3X Shares,SPXS,0001193125-22-056521,497K,Summary Prospectus,2022-02-28
0001424958,S000023810,Direxion Daily Technology Bear 3X Shares,C000070001,Direxion Daily Technology Bear 3X Shares,TECS,0001193125-22-056520,497K,Summary Prospectus,2022-02-28
0001424958,S000049373,Direxion Daily S&P Biotech Bull 3X Shares,C000156149,Direxion Daily S&amp;P Biotech Bull 3X Shares,LABU,0001193125-22-056518,497K,Summary Prospectus,2022-02-28
0001424958,S000022778,Direxion Daily Mid Cap Bull 3X Shares,C000065906,Direxion Daily Mid Cap Bull 3X Shares,MIDU,0001193125-22-056508,497K,Summary Prospectus,2022-02-28
0001424958,S000027920,Direxion Daily Semiconductor Bull 3X Shares,C000084845,Direxion Daily Semiconductor Bull 3X Shares,SOXL,0001193125-22-056507,497K,Summary Prospectus,2022-02-28
0001424958,S000022770,Direxion Daily Small Cap Bear 3X Shares,C000065898,Direxion Daily Small Cap Bear 3X Shares,TZA,0001193125-22-056506,497K,Summary Prospectus,2022-02-28
